attr_Constant,attr_DataType,attr_ExternalAccess,attr_Format,attr_Name,attr_Radix,attr_TagType,attr_Value,path,tag,text
,REAL,,,Min,Float,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,10,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Vision_Verif_X_Max,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,5.1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,30,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Vision Verif. X Max. (0-10 mm)'
,REAL,,,Min,Float,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,10,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Vision_Verif_Y_Min,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,4.9,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,30,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Vision Verif. Y Min. (0-10 mm)'
,REAL,,,Min,Float,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,10,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Vision_Verif_Y_Max,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,5.1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,30,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Vision Verif. Y Max. (0-10 mm)'
,REAL,,,Min,Float,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,10,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_String,,,Software_Revision,,,,Tag/Data/Structure/StructureMember,StructureMember,
,STRING,,,Value,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,6,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'1.0.23'
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,17,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Software Revision'
,DINT,,,Type,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_DINT,,,WaitForUserDelay,,,,Tag/Data/Structure/StructureMember,StructureMember,
,DINT,,,Value,Decimal,,15,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,30,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Wait for User Delay (0-600sec)'
,DINT,,,Min,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Max,Decimal,,600,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_DINT,,,WaitForProcDelay,,,,Tag/Data/Structure/StructureMember,StructureMember,
,DINT,,,Value,Decimal,,15,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,33,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Wait for Process Delay (0-600sec)'
,DINT,,,Min,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Max,Decimal,,600,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_String,,,SystemName,,,,Tag/Data/Structure/StructureMember,StructureMember,
,STRING,,,Value,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,26,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Springboard Line 2 Stacker'
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,12,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Machine Name'
,DINT,,,Type,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_String,,,Software_Change_Date,,,,Tag/Data/Structure/StructureMember,StructureMember,
,STRING,,,Value,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,10,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'12/20/2019'
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,20,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Software Change Date'
,DINT,,,Type,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_DINT,,,Hist_ByPass,,,,Tag/Data/Structure/StructureMember,StructureMember,
,DINT,,,Value,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,22,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Historian ByPass (0-1)'
,DINT,,,Min,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Max,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Cycle_Time,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,84,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,33,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Theoretical Cycle Time (0-300sec)'
,REAL,,,Min,Float,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,300,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_DINT,,,EnableBatteryQueue,,,,Tag/Data/Structure/StructureMember,StructureMember,
,DINT,,,Value,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,29,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'Enable In-Queue Battery (0-1)'
,DINT,,,Min,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Max,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_String,,,SL_Recipe_Name,,,,Tag/Data/Structure/StructureMember,StructureMember,
,STRING,,,Value,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,8,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'sl402290'
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,14,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'SL Recipe Name'
,DINT,,,Type,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_String,,,LL_Recipe_Name,,,,Tag/Data/Structure/StructureMember,StructureMember,
,STRING,,,Value,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,8,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'ll402294'
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,14,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,'LL Recipe Name'
,DINT,,,Type,Decimal,,1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Tray_CanLeft_Angle,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,-0.18,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,34,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,"'Left Can Tray Angle (deg, + is CW)'"
,REAL,,,Min,Float,,-2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Tray_CanRight_Angle,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,-0.18,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,35,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,"'Right Can Tray Angle (deg, + is CW)'"
,REAL,,,Min,Float,,-2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Tray_InsLeft_Angle,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,0.1,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,34,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,"'Left Ins Tray Angle (deg, + is CW)'"
,REAL,,,Min,Float,,-2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,ORT_SettingParam_Float,,,Tray_InsRight_Angle,,,,Tag/Data/Structure/StructureMember,StructureMember,
,REAL,,,Value,Float,,-0.3,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,STRING,,,Desc,,,,Tag/Data/Structure/StructureMember/StructureMember,StructureMember,
,DINT,,,LEN,Decimal,,35,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,
,STRING,,,DATA,ASCII,,,Tag/Data/Structure/StructureMember/StructureMember/DataValueMember,DataValueMember,"'Right Ins Tray Angle (deg, + is CW)'"
,REAL,,,Min,Float,,-2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,REAL,,,Max,Float,,2,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
,DINT,,,Type,Decimal,,0,Tag/Data/Structure/StructureMember/DataValueMember,DataValueMember,
